simple_amid,bundle_amid,Frontend_name,original_frontend_name,Type,Body_Type,Size,Top_Bottom,Product_Padding,Shape_Primary,supplier,MS_Product_Image_WEB_1,Color_AM_Primary,Showroom_Month,showroom_launch,Purchase_Type,tag,cloned_products,target_inventory,forecast_inventory,Need_to_Buy,actual_buy,Cluster,Calculation,original_tag,original_target_inventory,original_forecast_inventory,Original_Need_to_Buy,buy_ratio,size_range,flag,sale_ratio,sup_ratio
PCT185306,PCT185335,Natalya Black,Natalya Black,bras,regular,30A,Top,push up,Plunge,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/165067.jpg,Black,2026-01-03,2025-03-01,Aymh,AYMH,0,24,32,0,0,bras_regular_push up,SUP,AYMH,24,32,0,0.0,28,Alpha_numeric,0.017371243269355588,0.0031993601279744054
PCT185307,PCT185335,Natalya Black,Natalya Black,bras,regular,30B,Top,push up,Plunge,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/165067.jpg,Black,2026-01-03,2025-03-01,Aymh,AYMH,0,24,32,0,0,bras_regular_push up,SUP,AYMH,24,32,0,0.0,28,Alpha_numeric,0.0062473128474165385,0.002999400119976005
PCT185308,PCT185335,Natalya Black,Natalya Black,bras,regular,30C,Top,push up,Plunge,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/165067.jpg,Black,2026-01-03,2025-03-01,Aymh,AYMH,0,24,32,0,0,bras_regular_push up,SUP,AYMH,24,32,0,0.0,28,Alpha_numeric,0.0057543919763331751,0.0027994401119776045
PCT185309,PCT185335,Natalya Black,Natalya Black,bras,regular,30D,Top,push up,Plunge,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/165067.jpg,Black,2026-01-03,2025-03-01,Aymh,AYMH,0,24,32,0,0,bras_regular_push up,SUP,AYMH,24,32,0,0.0,28,Alpha_numeric,0.00650301157550065,0.0025994801039792041
PCT185310,PCT185335,Natalya Black,Natalya Black,bras,regular,30DD,Top,push up,Plunge,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/165067.jpg,Black,2026-01-03,2025-03-01,Aymh,AYMH,0,24,0,24,0,bras_regular_push up,SUP,AYMH,24,0,24,0.0,28,Alpha_numeric,0.0051726159060360138,0.0025994801039792041
PCT185311,PCT185335,Natalya Black,Natalya Black,bras,regular,30DDD,Top,push up,Plunge,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/165067.jpg,Black,2026-01-03,2025-03-01,Aymh,AYMH,0,24,0,24,0,bras_regular_push up,SUP,AYMH,24,0,24,0.0,28,Alpha_numeric,0.0081226197044997426,0.0025994801039792041
PCT185312,PCT185335,Natalya Black,Natalya Black,bras,regular,32A,Top,push up,Plunge,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/165067.jpg,Black,2026-01-03,2025-03-01,Aymh,AYMH,0,152,0,152,50,bras_regular_push up,SUP,AYMH,152,0,152,0.025265285497726123,28,Alpha_numeric,0.02278293682777454,0.022695460907818439
PCT185313,PCT185335,Natalya Black,Natalya Black,bras,regular,32B,Top,push up,Plunge,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/165067.jpg,Black,2026-01-03,2025-03-01,Aymh,AYMH,0,240,12,228,68,bras_regular_push up,SUP,AYMH,240,12,228,0.034360788276907528,28,Alpha_numeric,0.030165861260931869,0.036192761447710463
PCT185314,PCT185335,Natalya Black,Natalya Black,bras,regular,32C,Top,push up,Plunge,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/165067.jpg,Black,2026-01-03,2025-03-01,Aymh,AYMH,0,200,1,199,60,bras_regular_push up,SUP,AYMH,200,1,199,0.030318342597271349,28,Alpha_numeric,0.026227403178131638,0.028694261147770447
PCT185315,PCT185335,Natalya Black,Natalya Black,bras,regular,32D,Top,push up,Plunge,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/165067.jpg,Black,2026-01-03,2025-03-01,Aymh,AYMH,0,128,0,128,50,bras_regular_push up,SUP,AYMH,128,0,128,0.025265285497726123,28,Alpha_numeric,0.020012526638581742,0.019496100779844032
PCT185316,PCT185335,Natalya Black,Natalya Black,bras,regular,32DD,Top,push up,Plunge,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/165067.jpg,Black,2026-01-03,2025-03-01,Aymh,AYMH,0,96,19,77,0,bras_regular_push up,SUP,AYMH,96,19,77,0.0,28,Alpha_numeric,0.015858840969869357,0.015096980603879226
PCT185317,PCT185335,Natalya Black,Natalya Black,bras,regular,32DDD,Top,push up,Plunge,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/165067.jpg,Black,2026-01-03,2025-03-01,Aymh,AYMH,0,72,54,18,0,bras_regular_push up,SUP,AYMH,72,54,18,0.0,28,Alpha_numeric,0.012943218487223514,0.010797840431913617
PCT185318,PCT185335,Natalya Black,Natalya Black,bras,regular,34A,Top,push up,Plunge,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/165067.jpg,Black,2026-01-03,2025-03-01,Aymh,AYMH,0,208,1,207,64,bras_regular_push up,SUP,AYMH,208,1,207,0.032339565437089442,28,Alpha_numeric,0.027234976993111792,0.030593881223755247
PCT185319,PCT185335,Natalya Black,Natalya Black,bras,regular,34B,Top,push up,Plunge,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/165067.jpg,Black,2026-01-03,2025-03-01,Aymh,AYMH,0,568,1,567,170,bras_regular_push up,SUP,AYMH,568,1,567,0.08590197069226882,28,Alpha_numeric,0.07219471480052056,0.083983203359328143
PCT185320,PCT185335,Natalya Black,Natalya Black,bras,regular,34C,Top,push up,Plunge,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/165067.jpg,Black,2026-01-03,2025-03-01,Aymh,AYMH,0,480,1,479,146,bras_regular_push up,SUP,AYMH,480,1,479,0.073774633653360289,28,Alpha_numeric,0.070648917836257014,0.071285742851429718
PCT185321,PCT185335,Natalya Black,Natalya Black,bras,regular,34D,Top,push up,Plunge,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/165067.jpg,Black,2026-01-03,2025-03-01,Aymh,AYMH,0,296,1,295,90,bras_regular_push up,SUP,AYMH,296,1,295,0.045477513895907026,28,Alpha_numeric,0.043272277825281973,0.043391321735652869
PCT185322,PCT185335,Natalya Black,Natalya Black,bras,regular,34DD,Top,push up,Plunge,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/165067.jpg,Black,2026-01-03,2025-03-01,Aymh,AYMH,0,208,1,207,64,bras_regular_push up,SUP,AYMH,208,1,207,0.032339565437089442,28,Alpha_numeric,0.034121626000294128,0.031993601279744051
